antenna_lon	antenna_lat	weight
-4.143452	5.342044	4.754887502163469
-3.913602	5.341612	2.584962500721156
-3.496235	6.72941	7.169925001442313
-3.485944	6.729422	5.614709844115208
-3.911705	5.85801	2.0
-4.014445	5.42112	6.930737337562887
-4.0216	5.446905	6.459431618637298
-4.006585	5.435913	5.584962500721157
-4.018753	5.420699	4.523561956057013
-3.997226	5.417191	6.539158811108032
-3.99805	5.407898	5.882643049361842
-3.211737	5.469107	6.614709844115209
-4.095467	6.66473	0.0
-3.543346	6.221734	2.321928094887362
-3.164583	5.29179	2.807354922057604
-4.110951	5.315826	5.807354922057605
-3.267292	5.422211	3.5849625007211565
-4.643405	5.175587	0.0
-3.312813	5.30441	2.807354922057604
-4.196007	5.318276	2.321928094887362
-4.025873	5.349383	5.0
-6.850079	4.770215	0.0
-3.886351	5.241777	6.614709844115209
-3.854787	6.091386	4.321928094887363
-3.389103	6.65709	1.0
-3.943785	6.324254	1.0
-2.919295	5.414372	2.321928094887362
-4.030648	5.362591	5.392317422778761
-4.210628	5.92858	6.022367813028454
-4.023072	5.323831	0.0
-3.953847	5.362749	5.807354922057605
-4.217436	5.928619	6.285402218862249
-4.480228	6.48586	1.0
-3.204848	7.127898	5.459431618637297
-3.855413	6.358537	2.807354922057604
-4.938259	6.257808	1.0
-6.088081	6.046795	0.0
-4.889781	5.526307	2.321928094887362
-5.312954	7.65729	2.321928094887362
-5.057637	7.682969	6.247927513443586
-3.802443	5.477023	1.0
-5.023201	7.661988	5.523561956057013
-3.960562	5.289332	4.459431618637297
-4.011552	5.450978	5.247927513443585
-4.039695	5.327666	4.906890595608519
-5.074323	7.234814	1.0
-5.326043	6.839458	2.321928094887362
-3.940107	5.35375	5.247927513443585
-5.502224	6.346656	3.3219280948873626
-3.886707	6.379913	4.857980995127573
-5.879383	6.938892	2.0
-4.362741	5.44985	0.0
-4.362966	5.206767	2.0
-3.66106	5.497098	2.321928094887362
-3.850767	5.234282	2.807354922057604
-3.961963	5.349939	4.643856189774724
-2.901394	5.272661	0.0
-5.047979	7.917161	1.0
-4.069722	5.326284	6.209453365628951
-3.957629	5.310841	5.930737337562887
-4.088085	5.321261	5.977279923499917
-3.960988	5.363379	6.266786540694902
-3.97537	5.303743	5.882643049361842
-3.535525	7.106592	0.0
-4.257006	7.317604	0.0
-5.973374	6.121154	4.643856189774724
-4.020957	5.396149	3.3219280948873626
-4.099931	5.34533	4.08746284125034
-4.006379	5.342979	5.20945336562895
-4.063918	6.778021	1.5849625007211563
-5.557924	7.485534	2.321928094887362
-4.067051	5.366841	3.8073549220576037
-3.984856	5.404333	6.906890595608519
-4.010147	5.42625	5.700439718141093
-5.029667	6.681041	0.0
-3.987795	5.387504	6.584962500721156
-3.671596	6.651527	1.0
-3.968803	5.348878	6.554588851677638
-3.972668	5.338835	5.807354922057605
-3.963821	5.304552	5.321928094887363
-4.521858	6.333795	0.0
-4.049611	5.493694	6.357552004618085
-2.850978	7.882746	0.0
-3.17258	5.98135	1.5849625007211563
-3.333329	6.299667	3.0
-3.354502	6.986765	1.5849625007211563
-4.007751	5.329997	4.700439718141093
-4.059797	7.139565	1.0
-3.761142	5.210271	5.700439718141093
-5.149748	7.610253	2.0
-3.888782	6.953638	0.0
-5.392878	7.352591	2.321928094887362
-4.286104	6.77575	0.0
-3.812074	5.973719	0.0
-3.507525	5.143694	1.0
-4.984303	6.49995	2.584962500721156
-4.019877	5.32314	3.0
-4.08183	5.331853	6.6865005271832185
-5.118239	6.783518	2.584962500721156
-3.983764	5.545714	2.584962500721156
-4.179349	5.45614	1.5849625007211563
-3.979273	5.366714	6.339850002884625
-5.250039	6.802218	4.169925001442312
-7.564386	9.502505	2.584962500721156
-4.045033	5.632944	1.5849625007211563
-4.088991	5.526551	1.0
-4.088784	5.312996	4.807354922057604
-6.780258	7.125523	0.0
-6.65866	4.76788	6.044394119358453
-5.94555	6.148645	4.807354922057604
-4.89402	5.657079	2.0
-4.018886	5.318739	2.807354922057604
-5.356928	5.842847	5.392317422778761
-5.152683	9.190529	0.0
-4.057111	5.333743	6.507794640198696
-4.111707	5.369141	0.0
-3.88921	5.346685	6.357552004618085
-7.214502	6.897852	0.0
-6.522211	6.180779	3.3219280948873626
-5.808089	6.493828	1.5849625007211563
-6.459591	7.237881	1.0
-6.42959	6.320125	1.0
-6.003071	5.414547	3.0
-6.346468	5.20854	3.0
-4.306268	6.701733	0.0
-5.625662	9.474096	6.266786540694902
-4.073871	5.333064	6.965784284662088
-4.022178	5.347719	3.8073549220576037
-3.962161	5.297789	5.357552004618084
-6.66898	4.772571	6.22881869049588
-4.091508	5.338455	5.906890595608519
-5.29165	6.824332	5.08746284125034
-3.741967	5.208949	5.643856189774724
-5.989317	6.008171	1.5849625007211563
-5.958943	6.46199	3.4594316186372978
-4.008022	5.907137	0.0
-3.84168	6.47148	0.0
-6.277189	7.168953	1.5849625007211563
-3.599589	5.275466	5.614709844115208
-6.856408	6.870535	2.0
-4.005653	5.406751	5.392317422778761
-3.981183	5.347603	5.857980995127572
-4.458363	6.779429	0.0
-5.570656	7.679088	6.066089190457772
-3.960442	5.336617	4.392317422778761
-4.023854	5.356878	5.554588851677638
-3.410267	6.078371	0.0
-4.014304	5.342935	4.169925001442312
-3.981093	5.444594	4.700439718141093
-4.004623	5.311905	4.321928094887363
-3.194078	6.00951	0.0
-3.754619	6.802551	1.0
-4.023901	5.333848	4.523561956057013
-4.031213	5.346444	5.906890595608519
-3.630361	6.071691	0.0
-6.145423	6.208062	1.5849625007211563
-4.360453	5.938451	2.584962500721156
-4.693509	5.820192	1.5849625007211563
-3.99589	5.400109	6.375039431346925
-5.015629	6.562483	6.643856189774725
-3.889793	5.355916	6.754887502163469
-6.034083	7.338732	2.807354922057604
-4.026443	5.355336	5.643856189774724
-6.580547	4.934835	2.0
-3.869922	5.348026	5.882643049361842
-5.712812	6.316644	2.321928094887362
-7.170058	7.15516	1.5849625007211563
-6.402054	10.195996	1.0
-3.998233	5.324333	4.0
-4.54144	7.044252	1.0
-5.487001	7.897072	0.0
-6.20083	6.385569	1.0
-6.525366	6.654184	1.0
-4.053861	5.325659	5.643856189774724
-3.981421	5.398935	6.129283016944967
-4.808063	7.198303	1.0
-3.776135	6.582961	0.0
-3.232956	8.28194	0.0
-2.801975	8.042674	6.189824558880018
-3.526192	5.488762	0.0
-4.204861	6.6585	4.857980995127573
-3.956538	5.370529	4.857980995127573
-4.106718	5.344941	1.0
-5.217724	6.370207	1.5849625007211563
-6.051272	6.924573	3.1699250014423126
-3.596764	5.261879	5.643856189774724
-6.485888	7.145734	2.0
-3.964356	5.360864	7.118941072723508
-3.512154	6.734689	6.930737337562887
-4.014864	5.317638	2.807354922057604
-5.295145	7.877907	1.0
-5.854713	7.263305	2.0
-5.753299	6.98254	6.727920454563199
-5.031158	7.681516	7.011227255423254
-5.672175	8.211383	1.0
-3.804281	6.251303	2.321928094887362
-5.31967	5.634025	1.0
-5.489291	6.722429	1.5849625007211563
-4.024002	5.359853	4.754887502163469
-3.815094	5.296401	1.0
-4.015951	5.433888	5.7279204545632
-4.162748	5.309044	4.247927513443585
-6.379644	6.498782	2.584962500721156
-4.040343	6.912917	1.0
-6.516944	7.601789	0.0
-4.221507	6.654994	3.3219280948873626
-7.004209	6.25824	5.491853096329675
-7.014496	6.247475	5.129283016944966
-5.261862	6.821173	6.6865005271832185
-3.987618	5.419455	6.39231742277876
-3.495588	6.715023	5.807354922057605
-5.278736	6.867756	4.08746284125034
-3.937196	5.306728	5.977279923499917
-3.988471	5.341687	1.5849625007211563
