antenna_lon	antenna_lat	weight
-4.143452	5.342044	2.0
-3.913602	5.341612	0.0
-3.496235	6.72941	4.247927513443585
-3.485944	6.729422	3.3219280948873626
-3.911705	5.85801	0.0
-4.014445	5.42112	5.044394119358453
-4.0216	5.446905	3.3219280948873626
-4.006585	5.435913	2.807354922057604
-4.018753	5.420699	2.807354922057604
-3.997226	5.417191	3.8073549220576037
-3.99805	5.407898	2.584962500721156
-3.211737	5.469107	4.0
-3.543346	6.221734	1.0
-3.164583	5.29179	0.0
-4.110951	5.315826	3.3219280948873626
-5.222521	5.31805	0.0
-3.267292	5.422211	1.0
-3.312813	5.30441	0.0
-4.196007	5.318276	2.321928094887362
-4.025873	5.349383	3.4594316186372978
-6.850079	4.770215	2.0
-3.886351	5.241777	2.321928094887362
-3.854787	6.091386	2.321928094887362
-2.919295	5.414372	1.0
-4.030648	5.362591	3.9068905956085187
-4.210628	5.92858	4.08746284125034
-4.023072	5.323831	0.0
-3.953847	5.362749	2.321928094887362
-4.217436	5.928619	3.8073549220576037
-3.204848	7.127898	3.0
-3.855413	6.358537	1.5849625007211563
-5.312954	7.65729	2.321928094887362
-5.057637	7.682969	3.1699250014423126
-3.802443	5.477023	1.0
-5.023201	7.661988	2.321928094887362
-3.960562	5.289332	2.584962500721156
-4.011552	5.450978	2.0
-4.039695	5.327666	2.584962500721156
-5.074323	7.234814	0.0
-5.326043	6.839458	1.0
-3.940107	5.35375	3.1699250014423126
-5.502224	6.346656	2.584962500721156
-3.886707	6.379913	3.3219280948873626
-5.879383	6.938892	0.0
-4.362741	5.44985	0.0
-3.66106	5.497098	1.0
-3.850767	5.234282	2.0
-3.961963	5.349939	1.0
-4.069722	5.326284	2.0
-3.957629	5.310841	3.5849625007211565
-4.088085	5.321261	2.321928094887362
-3.960988	5.363379	0.0
-3.576687	6.822775	0.0
-3.535525	7.106592	1.0
-5.973374	6.121154	1.5849625007211563
-4.020957	5.396149	1.5849625007211563
-4.099931	5.34533	0.0
-4.006379	5.342979	3.1699250014423126
-6.918692	7.662726	0.0
-4.063918	6.778021	1.5849625007211563
-4.067051	5.366841	1.0
-3.984856	5.404333	4.08746284125034
-4.010147	5.42625	1.0
-5.029667	6.681041	0.0
-3.987795	5.387504	3.1699250014423126
-3.671596	6.651527	0.0
-3.968803	5.348878	3.0
-3.972668	5.338835	1.0
-3.963821	5.304552	1.0
-4.049611	5.493694	4.643856189774724
-3.415245	6.560297	0.0
-3.17258	5.98135	1.0
-3.333329	6.299667	0.0
-3.354502	6.986765	1.0
-4.007751	5.329997	1.0
-4.059797	7.139565	0.0
-3.761142	5.210271	3.5849625007211565
-5.149748	7.610253	2.0
-5.392878	7.352591	1.5849625007211563
-4.286104	6.77575	0.0
-3.507525	5.143694	0.0
-4.019877	5.32314	1.0
-3.387237	5.145088	1.0
-4.08183	5.331853	3.1699250014423126
-5.118239	6.783518	2.321928094887362
-3.983764	5.545714	1.0
-3.979273	5.366714	3.5849625007211565
-5.250039	6.802218	1.5849625007211563
-7.564386	9.502505	0.0
-4.045033	5.632944	0.0
-4.088991	5.526551	0.0
-4.088784	5.312996	1.0
-6.780258	7.125523	1.0
-6.65866	4.76788	4.247927513443585
-5.94555	6.148645	2.321928094887362
-5.356928	5.842847	2.807354922057604
-4.057111	5.333743	3.1699250014423126
-3.88921	5.346685	3.3219280948873626
-6.522211	6.180779	2.0
-5.808089	6.493828	0.0
-6.036916	5.548626	1.5849625007211563
-6.42959	6.320125	2.0
-6.003071	5.414547	2.0
-6.346468	5.20854	2.321928094887362
-5.625662	9.474096	3.1699250014423126
-4.073871	5.333064	4.459431618637297
-6.189007	7.188134	0.0
-4.022178	5.347719	2.0
-4.340991	6.164495	0.0
-3.962161	5.297789	0.0
-6.66898	4.772571	4.754887502163469
-4.091508	5.338455	2.321928094887362
-5.29165	6.824332	2.807354922057604
-3.741967	5.208949	2.0
-5.989317	6.008171	1.5849625007211563
-5.958943	6.46199	1.5849625007211563
-3.84168	6.47148	1.5849625007211563
-6.277189	7.168953	1.0
-3.599589	5.275466	4.584962500721157
-6.856408	6.870535	1.0
-4.005653	5.406751	3.0
-3.981183	5.347603	2.0
-5.570656	7.679088	3.3219280948873626
-3.960442	5.336617	1.5849625007211563
-4.023854	5.356878	3.8073549220576037
-3.410267	6.078371	0.0
-4.014304	5.342935	1.5849625007211563
-3.981093	5.444594	2.321928094887362
-4.004623	5.311905	2.0
-7.61935	7.732864	1.5849625007211563
-3.194078	6.00951	0.0
-4.023901	5.333848	1.0
-6.219751	6.637728	1.5849625007211563
-4.031213	5.346444	2.584962500721156
-6.145423	6.208062	2.807354922057604
-4.360453	5.938451	1.0
-8.312376	6.768741	1.0
-4.693509	5.820192	1.5849625007211563
-3.99589	5.400109	3.1699250014423126
-5.015629	6.562483	3.5849625007211565
-3.889793	5.355916	3.9068905956085187
-6.034083	7.338732	2.321928094887362
-4.026443	5.355336	2.807354922057604
-6.580547	4.934835	2.584962500721156
-3.869922	5.348026	2.0
-5.712812	6.316644	1.0
-7.468959	4.52897	1.0
-3.998233	5.324333	2.0
-5.487001	7.897072	0.0
-6.20083	6.385569	1.0
-6.525366	6.654184	0.0
-4.053861	5.325659	2.0
-3.981421	5.398935	0.0
-4.808063	7.198303	0.0
-3.776135	6.582961	0.0
-2.801975	8.042674	3.3219280948873626
-3.526192	5.488762	1.0
-4.204861	6.6585	3.0
-3.956538	5.370529	1.5849625007211563
-5.217724	6.370207	1.0
-6.051272	6.924573	3.5849625007211565
-3.596764	5.261879	4.247927513443585
-6.485888	7.145734	1.5849625007211563
-3.964356	5.360864	3.1699250014423126
-3.512154	6.734689	3.0
-4.014864	5.317638	0.0
-5.295145	7.877907	1.0
-5.854713	7.263305	1.0
-5.753299	6.98254	3.9068905956085187
-5.031158	7.681516	3.9068905956085187
-5.31967	5.634025	0.0
-5.489291	6.722429	0.0
-4.024002	5.359853	2.321928094887362
-3.815094	5.296401	1.0
-4.015951	5.433888	1.0
-4.162748	5.309044	1.0
-4.846348	7.600497	2.0
-6.379644	6.498782	0.0
-4.040343	6.912917	1.0
-6.516944	7.601789	0.0
-4.221507	6.654994	3.1699250014423126
-7.004209	6.25824	3.700439718141092
-7.014496	6.247475	3.700439718141092
-5.261862	6.821173	1.0
-3.987618	5.419455	4.0
-3.495588	6.715023	3.8073549220576037
-5.278736	6.867756	2.0
-3.937196	5.306728	3.0
-3.988471	5.341687	1.0
-5.027187	7.651894	2.0
-6.613363	4.736188	0.0
-4.028446	5.330621	2.584962500721156
-4.015731	5.357661	3.700439718141092
-3.983911	5.381465	1.0
-4.02162	5.419177	3.1699250014423126
-4.088099	5.307023	1.0
-6.681608	7.954907	3.5849625007211565
-4.073932	5.355972	3.4594316186372978
-4.014943	5.323478	1.0
-5.076243	5.703332	1.0
-3.204733	7.143858	2.584962500721156
-5.060519	7.705747	2.584962500721156
-4.024601	5.363671	1.0
